step,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18
67,7.423918,32.5002,29.09549,4.5737305,-8.850098,14.325968,-124.04436,-108.38147,-157.36969,-21.055664,-29.118994,-29.695744,-40.0,-18.0,-18.0,4.3384438,2.4740448,-5.728256,2.9096375
68,5.3926544,-24.74796,-27.55487,-8.361816,-17.311493,2.3331685,22.01963,-12.171677,-148.65433,-18.725098,5.084303,-40.0,-40.0,-1.4753313,-4.2124634,-16.447136,-40.0,-18.0,-8.3854065
69,-26.444084,-5.3085327,20.831696,9.418823,30.977783,28.918503,7.777237,-55.60234,-138.57,40.0,-9.42947,-22.081623,-37.10243,2.6758175,-3.0933228,-5.2531433,-40.0,-8.649738,-4.9153137
70,-15.867016,12.665642,13.805237,15.192383,40.0,34.215096,-48.975113,-78.24512,-89.77554,4.3358765,-8.888443,25.838581,12.396561,5.1972504,18.0,10.837173,0.08569336,2.8602924,-1.6138306
71,-4.366173,7.912861,-11.964966,13.033691,-6.173126,-8.351749,-16.836647,37.932617,26.182037,3.7182007,34.279762,12.160028,5.25119,18.0,-0.69522095,-15.500366,40.0,6.9880543,-18.0
72,11.186693,13.925659,39.710083,11.196899,-8.379486,0.5055733,-32.458916,-11.509074,-0.81173706,14.950256,-10.164307,10.3652,40.0,2.8781743,-18.0,32.76631,10.320259,8.300911,18.0
73,10.006493,23.842773,2.611084,2.00708,-40.0,2.613966,-27.15569,12.570702,0.97766113,40.0,-28.450472,-24.287193,40.0,2.2158775,-3.1263428,32.943035,-15.868206,7.4923744,9.109283
74,-0.8325348,-22.275051,31.249878,22.09668,12.998901,2.1022758,29.28363,-52.253746,-32.90442,-18.237793,-1.1306934,3.2131538,40.0,-1.2136211,3.8262024,-6.3383064,-8.831882,18.0,-18.0
75,-1.2426071,5.3823853,-9.63269,10.743164,2.8543396,-7.759079,18.274818,8.038437,-9.434937,-19.168243,9.478538,7.1418,40.0,5.8676243,18.0,-6.6528473,-37.156097,-8.517418,-0.19616699
76,18.219402,30.386978,32.182495,40.120728,11.451355,14.460175,-9.704178,-58.616573,-40.804382,-40.0,-33.8226,32.86001,-5.3375854,1.3344116,4.4138794,22.432295,-40.0,-8.748329,4.286377
77,-23.267391,-41.389244,48.026764,45.07074,-0.41934204,-0.6808853,38.88434,-57.77938,-41.87793,-40.0,-3.6483617,-1.920269,-6.3475647,3.4691238,-2.4822693,14.435555,-40.0,-18.0,18.0
78,5.6650925,15.2092285,23.373444,29.414734,-11.271576,-7.4663467,4.141083,-21.872055,-31.233276,10.712769,-19.314419,-40.0,-22.125214,5.0264225,-6.3252563,-26.436272,21.84993,-18.0,-10.399353
79,-1.4158611,2.6260147,-31.248596,-5.92218,-2.9669495,-11.11174,8.404943,21.089539,-20.310547,9.242615,37.772156,13.6503105,-37.22219,-6.6732206,14.664581,-40.0,40.0,4.642151,-5.524475
80,2.607688,-43.691833,75.974396,-8.790955,0.95388794,-2.5076294,2.5695457,-16.205948,-19.11145,-5.1714478,-4.2694225,34.722736,-7.6482925,14.45195,-1.086853,25.123055,28.236345,4.1095276,-18.0
81,-8.78742,100.409225,-34.82498,-236.82324,40.0,28.801018,28.734116,11.650833,10.1710205,23.335083,31.77182,32.163567,4.1395187,-7.436989,0.40429688,-19.445137,-24.9287,14.908768,-18.0
82,12.801029,59.011993,-121.17804,-300.0,16.524475,1.7376099,-6.1360855,25.444893,6.9813232,40.0,7.3941,-16.004223,-3.5696316,-7.344574,-18.0,-37.38221,-40.0,-7.4875336,-18.0
83,7.9723396,37.40352,-69.86273,-300.0,-40.0,18.945072,-15.869835,-14.886612,4.0424805,-18.57492,-44.05897,-37.067715,-1.1502476,-0.85856247,-18.0,40.0,6.8658524,18.0,10.320221
84,27.215694,200.0,-35.08316,-300.0,40.0,-0.35247803,-67.99535,11.59198,14.543823,-2.7721558,-38.799484,-37.284447,34.46715,1.5662117,-18.0,40.0,24.15044,18.0,18.0
85,-1.7822876,121.619156,8.032944,-239.8729,40.0,13.382015,-19.506054,-32.477966,2.2104492,5.087219,-14.297447,-5.3813705,40.0,1.6327362,-18.0,6.573906,-11.537975,18.0,18.0
86,-1.3670359,105.18443,-43.982315,-186.2557,40.0,-16.144997,-23.477013,13.908966,14.858032,-3.3281555,9.737711,7.046463,13.930084,0.50190735,18.0,-40.0,-2.9099808,18.0,0.33496094
87,-7.517029,145.86565,-23.006317,-30.830475,-8.171631,-10.700226,-44.92273,12.39682,16.303833,-9.303406,17.053139,32.87815,7.8048096,-18.0,7.184265,2.1084805,-34.23027,9.580315,-9.273285
88,-3.6928253,-55.98634,-45.042458,-23.165405,-0.48443604,-18.147377,22.57138,34.777863,25.188477,4.901428,28.368916,-13.450317,7.707306,-18.0,-5.051941,-40.0,15.560135,-18.0,-18.0
89,-9.305771,-17.220932,2.201706,2.4284668,-1.1691284,15.675999,2.1749191,6.832489,11.793579,13.614319,-3.1252747,-37.30832,-40.0,4.2033386,-5.965576,-40.0,40.0,-18.0,-4.4405823
90,-12.758934,0.32061768,17.12753,2.055664,-8.602142,12.40387,-3.2209396,-9.608643,12.925781,9.065521,-1.050169,9.217056,-40.0,2.3748703,-6.282776,-18.882889,-39.361603,-4.0917854,18.0
91,8.094566,55.725224,-23.551369,-14.839111,-10.2771,-9.139779,-36.316025,13.444794,21.095032,-8.425781,3.4019547,16.972443,-31.806824,18.0,16.93106,9.693527,-5.3327026,-1.2099686,2.1991272
92,3.838561,-22.36943,-43.51128,-35.039673,1.3415527,11.475334,30.199982,10.356384,21.308044,-2.1203308,-19.356895,31.597496,-15.682838,-6.5019436,18.0,40.0,21.311089,-18.0,-0.82214355
93,-12.137768,-3.3716278,-60.144966,-38.002808,-6.3016357,-2.1722107,-20.641464,42.83316,36.051575,1.7785645,28.13989,10.621388,8.738228,18.0,-18.0,2.5224533,9.435051,7.3392296,-0.9548645
94,-1.0823593,-15.69743,-21.473385,-12.298584,-17.877014,10.608902,0.86953735,9.735565,21.08606,2.3344727,10.15905,-3.818161,-9.976494,-1.5767822,-18.0,-9.812813,18.545727,18.0,-5.923706
95,-14.073074,1.895813,-7.0548096,-11.704346,40.0,-14.783218,-13.047226,27.091797,10.963074,40.0,16.220903,-3.0738373,40.0,-18.0,6.6914062,-24.84642,-23.204147,18.0,18.0
96,5.9016914,-3.103016,-15.453369,-17.56726,-19.040924,13.99226,-41.98813,128.73396,-151.6796,11.045837,-7.7512054,-5.323658,33.41123,-18.0,-18.0,38.305435,6.673889,-9.858643,18.0
97,10.574236,44.91403,31.547668,7.467041,-3.1684723,-5.0204544,-200.0,-33.807983,-247.14383,40.0,-20.323154,8.689949,-1.0239334,-18.0,18.0,8.38694,33.943855,-18.0,-18.0
98,6.624489,20.356644,-42.872955,-16.82312,-40.0,6.1483946,-139.73505,24.629318,-189.48328,-40.0,-8.686733,-4.1324425,13.360931,14.803804,18.0,26.051016,-40.0,-3.7582626,4.956543
99,-11.675838,31.826832,48.374725,-8.79895,-40.0,-2.464161,-200.0,-119.0025,-225.23169,-40.0,-15.526005,-16.462976,-24.044567,3.9186134,-9.609833,-21.636528,-14.952118,-0.44491577,-18.0
100,16.276928,46.599556,34.049118,1.8178711,40.0,4.6205997,-200.0,-130.35864,-229.40439,-22.19925,-26.89691,-33.638172,-26.685143,-18.0,-7.9121094,-8.033211,0.77069855,-6.42334,2.794281
101,-3.315857,14.542683,-12.3125305,7.8883057,9.678284,-23.834938,-90.52023,-40.172348,-134.08661,40.0,35.82994,26.288366,26.619106,18.0,18.0,-40.0,18.669518,18.0,-18.0
102,-16.65586,3.804985,-19.825378,14.141724,-3.7660522,2.614174,-45.80946,30.72292,-47.473022,-6.210083,32.401745,15.349215,21.37667,5.161789,-4.74411,-34.875122,7.4436646,3.4835281,-18.0
103,-6.073307,-25.06706,10.875885,16.348389,-11.512909,-7.3194504,73.48404,-24.765743,-15.244934,-7.290161,-3.5072393,-13.41981,-38.805244,18.0,-1.3006897,-10.995464,-2.609375,-5.134518,4.78067
104,-11.92422,-27.313248,11.0720215,14.376099,-26.440643,-12.207418,107.96619,-34.51204,-35.712036,-17.759094,35.173447,19.27872,4.0195293,-18.0,18.0,-16.805473,-40.0,-2.919643,11.097809
105,-11.137928,6.029745,4.567566,8.811035,-6.2597656,-2.6258926,-36.378876,28.329323,16.330765,6.759094,6.3079414,-3.7626495,40.0,-18.0,-18.0,10.064407,4.685257,3.4625587,18.0
106,17.977108,5.5107803,44.471497,23.809692,-4.1414795,7.79708,-4.991993,-29.013947,-18.682953,2.0975952,-30.43339,-11.812096,3.6537323,-15.408373,-18.0,40.0,1.6511536,-18.0,3.3657532
107,27.67039,43.63924,16.536926,14.194702,-9.4644165,5.9987755,-35.112778,-13.7467575,-16.155151,-5.1575623,-30.685745,-1.0799522,40.0,9.343932,2.4784546,40.0,40.0,18.0,18.0
108,-21.041233,-27.92038,-21.721008,-2.8988037,-40.0,-1.4501729,43.63314,-9.619278,-20.307617,-1.8354492,24.78768,30.840868,4.1277313,18.0,18.0,40.0,0.6337433,18.0,18.0
109,15.332848,34.402847,22.311768,31.127686,1.5687256,1.565325,-21.762985,-42.694214,-33.546326,3.8424988,-18.483658,14.19318,-40.0,-3.3801804,7.997925,9.84206,10.613705,-18.0,10.591064
110,-20.125528,-35.315857,38.03128,23.785156,12.9114685,-3.6226501,40.505707,-27.53408,-27.566528,11.077393,5.5542336,-6.23378,-40.0,-6.1623683,-5.1717834,-11.386455,-38.36476,-4.1548615,-14.66684
111,0.4502411,-1.1124039,9.973846,23.519348,9.461853,-4.7076263,1.1982765,-9.984192,-22.286255,16.148346,4.5919724,-37.972687,13.425499,18.0,-18.0,-40.0,5.698242,-1.7134247,-18.0
112,8.762579,-16.33046,65.211426,-46.24005,-5.295288,6.36327,11.061479,-13.25869,-17.454346,-12.222321,-1.3806801,4.2011986,4.029541,12.975746,6.5037537,-3.0518675,10.1693535,-18.0,-18.0
113,14.50827,70.46907,-11.653412,-239.3722,-29.040771,8.601448,-12.2513275,5.8330994,-32.976562,-40.0,-31.7358,-1.857317,-28.957825,-18.0,4.7437744,21.741142,0.39881516,-18.0,18.0
114,-38.090603,164.19516,16.58783,-300.0,40.0,27.95243,-40.470306,-58.96228,-26.088135,4.3348083,-24.60431,-40.0,-10.272385,-18.0,-11.070557,-0.28957748,-40.0,3.9455833,12.422272
115,-6.4675827,102.0186,-75.45834,-300.0,40.0,-6.1946297,-18.294155,27.681763,-4.480591,-4.0976562,20.566626,-40.0,-1.4753532,-11.156857,-18.0,-40.0,2.3115559,16.909063,-9.764862
116,33.364784,78.29552,-59.866028,-300.0,40.0,-7.0221634,-17.110043,24.744873,0.007446289,-6.5997925,-2.4638062,-30.299957,40.0,7.8044834,-18.0,-17.115509,10.085888,-18.0,-7.320587
117,3.9749908,16.93554,-30.39801,-294.00455,40.0,-3.8816233,2.3048134,19.783997,9.458618,-9.118988,15.043335,19.235168,27.670471,-10.567284,-18.0,7.329033,-40.0,18.0,-17.48764
118,10.086819,25.48213,-12.307266,-147.34961,40.0,-10.434902,-12.760544,-2.6861572,7.9505615,-40.0,2.952138,32.805344,40.0,17.05296,18.0,16.77286,2.3313103,18.0,9.477478
119,9.753815,71.62795,-35.46959,-33.39984,40.0,-17.992416,-26.454948,23.283264,21.269775,17.084076,1.8775101,5.1483765,-25.828827,-0.4532776,2.5325317,-6.5926323,-40.0,-9.708488,-2.8562622
